,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
VA -- ALEXANDRIA CITY (County),65,102,130,193,433,279,200,15,1,1004,72,113,30,33,166,0,2,14,47,67,128,117,133,326,583,1,12,3,6,13,24,72,122,29,328,71,126,219,393,556,164,296,402,0,423,887,0,108,0,0,1418
VA -- ALLEGHANY COUNTY (County),38,24,43,63,154,44,15,7,0,360,2,1,0,0,25,0,1,6,4,19,13,26,24,64,231,0,2,19,16,30,71,112,72,0,57,1,3,0,5,3,47,247,91,0,250,122,0,16,0,0,388
VA -- AMELIA COUNTY (County),21,13,38,48,115,42,29,0,0,254,2,25,1,0,24,0,1,6,14,12,15,16,21,51,169,1,0,12,5,9,28,69,87,6,77,6,6,0,1,3,24,228,51,0,228,57,0,21,0,0,306
VA -- AMHERST COUNTY (County),63,38,78,103,302,72,46,4,0,598,9,46,1,1,51,0,5,8,13,23,37,40,52,119,409,0,4,25,34,31,76,174,169,11,161,8,6,5,2,7,83,473,143,0,490,173,0,43,0,0,706
VA -- APPOMATTOX COUNTY (County),25,16,25,47,131,44,13,1,0,265,4,14,0,4,15,0,0,6,5,12,18,19,25,55,162,0,0,6,9,10,47,81,79,0,62,3,2,2,1,8,8,229,57,0,229,61,0,12,0,0,302
VA -- ARLINGTON COUNTY (County),204,205,307,631,2422,1208,646,416,27,4522,310,123,134,153,824,0,8,41,85,86,393,448,634,1404,2956,11,19,3,20,35,51,184,321,75,893,407,590,946,2522,3125,550,271,2120,0,1520,4240,0,306,0,0,6066
VA -- AUGUSTA COUNTY (County),116,120,131,218,664,244,118,77,52,1533,12,11,6,4,174,0,10,12,34,54,79,95,101,318,1036,1,11,38,35,35,150,318,467,28,540,40,49,20,9,49,107,1366,218,0,1173,458,0,109,0,0,1740
VA -- BATH COUNTY (County),7,6,6,19,24,13,8,1,2,73,1,0,0,0,12,0,1,1,3,1,2,2,7,17,52,0,0,3,8,5,11,29,12,0,17,0,0,0,1,1,7,63,15,0,65,21,0,0,0,0,86
VA -- BEDFORD COUNTY (County),146,131,161,297,838,253,158,25,0,1808,21,16,5,8,151,0,14,23,50,62,44,88,138,373,1212,5,4,67,31,43,129,393,500,29,637,46,67,34,29,48,120,1550,291,0,1557,311,0,141,0,0,2009
VA -- BLAND COUNTY (County),8,5,19,21,63,11,13,1,0,133,0,1,0,0,7,0,1,2,4,3,4,12,13,22,80,0,3,14,7,8,16,40,30,0,23,0,0,0,0,1,8,114,18,0,91,36,0,14,0,0,141
VA -- BOTETOURT COUNTY (County),63,52,70,137,364,123,47,37,15,817,5,0,3,4,79,0,3,10,16,42,34,33,70,168,532,0,3,18,16,17,49,154,240,26,285,18,45,22,15,27,51,698,132,0,585,270,0,53,0,0,908
VA -- BRISTOL CITY (County),66,32,37,58,162,39,5,0,0,367,3,2,3,0,24,0,4,4,8,15,8,15,23,62,258,2,3,33,26,23,55,141,54,8,48,5,1,1,1,11,72,234,82,0,256,121,0,22,0,0,399
VA -- BRUNSWICK COUNTY (County),29,21,19,37,102,31,10,5,0,99,2,138,1,5,9,0,1,3,7,9,11,14,14,42,153,0,0,15,9,19,38,81,51,0,35,2,0,3,1,2,54,140,58,0,152,90,0,12,0,0,254
VA -- BUCHANAN COUNTY (County),36,14,32,43,63,14,5,0,0,194,1,0,0,0,12,0,2,2,2,7,13,13,12,31,124,1,2,33,17,19,48,52,16,0,18,0,1,1,0,2,8,128,69,0,136,71,0,0,0,0,207
VA -- BUCKINGHAM COUNTY (County),29,21,24,36,78,43,28,0,0,163,1,74,0,6,15,0,2,3,6,20,15,11,16,44,142,0,0,19,6,12,43,84,36,0,52,1,1,4,1,0,41,173,45,0,180,59,0,20,0,0,259
VA -- BUENA VISTA CITY (County),20,12,12,32,44,8,4,5,0,130,1,0,0,1,5,0,2,0,6,2,11,7,8,22,79,0,0,17,4,7,21,50,19,0,18,1,0,0,0,1,29,87,20,0,84,41,0,12,0,0,137
VA -- CAMPBELL COUNTY (County),117,81,117,183,553,176,69,1,0,1122,7,57,5,6,100,0,7,17,30,56,48,68,84,235,752,0,3,58,47,57,107,396,264,13,312,15,16,5,4,28,93,965,211,0,982,242,0,73,0,0,1297
VA -- CAROLINE COUNTY (County),76,56,88,108,238,116,71,32,0,547,23,151,3,4,57,0,5,9,23,39,59,54,72,167,357,0,9,9,7,4,53,148,181,45,272,14,25,12,6,74,117,441,153,0,454,250,0,81,0,0,785
VA -- CARROLL COUNTY (County),72,34,72,114,295,72,28,0,0,640,4,2,1,2,38,0,4,2,9,21,27,28,54,137,405,0,3,65,34,61,91,210,107,0,106,3,3,2,2,6,65,532,84,0,534,136,0,17,0,0,687
VA -- CHARLES CITY COUNTY (County),25,8,20,28,56,25,3,2,0,71,0,86,0,0,10,0,1,0,4,9,9,10,10,37,86,1,1,0,6,5,14,62,33,0,42,2,0,2,0,0,30,86,51,0,89,62,0,16,0,0,167
VA -- CHARLOTTE COUNTY (County),19,17,20,35,101,32,15,0,0,172,0,52,4,1,10,0,0,3,2,9,7,14,22,36,145,1,1,28,15,8,46,64,39,0,38,0,0,0,0,0,36,166,37,0,169,57,0,13,0,0,239
VA -- CHARLOTTESVILLE CITY (County),25,24,35,57,86,87,12,1,0,250,4,28,1,3,41,0,2,8,19,17,27,13,20,45,176,0,3,6,7,11,23,48,60,12,100,14,18,12,13,145,26,52,104,0,103,204,0,20,0,0,327
VA -- CHESAPEAKE CITY (County),904,756,934,1357,3653,1130,537,258,86,6101,405,2135,64,96,814,0,80,135,220,403,682,816,964,2416,3896,3,30,73,57,87,335,995,1650,367,3541,795,851,546,288,1487,1484,4679,1965,0,5295,3408,0,912,0,0,9615
VA -- CHESTERFIELD COUNTY (County),507,499,630,1178,3197,1478,528,56,1,5608,204,1469,54,67,672,0,41,94,217,334,465,532,617,1739,4027,8,31,77,51,77,268,995,1396,360,3058,495,560,382,324,1151,913,4517,1493,0,4931,2674,0,469,0,0,8074
VA -- CLARKE COUNTY (County),23,19,26,37,107,79,24,15,0,282,6,2,3,1,36,0,3,5,11,8,18,35,32,65,153,0,0,5,5,3,6,27,47,14,131,39,20,21,12,39,23,226,42,0,178,126,0,26,0,0,330
VA -- COLONIAL HEIGHTS CITY (County),48,24,47,79,179,65,60,22,0,433,17,22,4,9,39,0,1,7,12,15,21,28,33,126,281,0,0,6,7,15,45,112,147,11,146,10,14,10,1,24,58,395,47,0,407,88,0,29,0,0,524
VA -- COVINGTON CITY (County),19,7,11,32,47,18,4,2,0,120,2,7,0,0,11,0,1,2,4,3,6,4,7,25,88,0,0,17,10,22,28,37,8,0,16,2,0,0,0,0,17,75,48,0,77,62,0,1,0,0,140
VA -- CRAIG COUNTY (County),15,11,8,20,48,18,7,0,0,120,0,0,0,0,7,0,0,0,4,10,5,3,7,28,70,0,1,5,3,3,28,33,29,0,23,0,0,1,1,2,7,97,21,0,99,24,0,4,0,0,127
VA -- CULPEPER COUNTY (County),82,74,111,127,363,177,107,69,0,938,35,39,4,4,90,0,5,10,24,47,82,87,102,234,519,0,7,12,6,12,45,127,245,70,413,46,66,40,21,103,85,735,187,0,758,263,0,89,0,0,1110
VA -- CUMBERLAND COUNTY (County),19,11,11,32,77,42,18,0,0,131,3,54,1,1,20,0,0,1,10,6,11,9,11,47,115,0,2,13,8,7,34,54,50,0,37,0,1,4,0,4,43,99,64,0,92,107,0,11,0,0,210
VA -- DANVILLE CITY (County),71,68,93,108,300,159,25,0,0,322,3,464,2,4,29,0,11,11,37,35,32,30,46,121,501,0,7,83,46,72,187,188,102,3,123,6,5,0,2,40,223,366,195,0,415,372,0,37,0,0,824
VA -- DICKENSON COUNTY (County),28,22,38,46,89,12,4,0,0,224,0,0,0,3,12,0,0,3,5,16,17,8,17,40,133,0,1,31,24,40,61,44,16,0,22,0,0,0,0,0,42,157,40,0,158,80,0,1,0,0,239
VA -- DINWIDDIE COUNTY (County),62,46,58,87,214,101,35,10,0,422,8,140,2,2,39,0,4,6,16,31,29,36,42,145,303,1,3,15,17,18,57,151,177,20,141,2,9,3,0,7,103,372,131,0,341,232,0,40,0,0,613
VA -- EMPORIA CITY (County),9,7,5,11,24,17,4,2,0,17,5,55,0,0,2,0,1,1,4,3,8,3,4,8,47,0,0,5,4,8,15,23,4,5,14,0,0,1,0,1,27,32,19,0,38,38,0,3,0,0,79
VA -- ESSEX COUNTY (County),16,10,16,16,61,32,17,0,0,99,2,52,1,2,12,0,0,1,7,4,7,5,8,28,108,0,0,2,6,11,21,52,24,0,43,2,2,4,1,0,32,104,32,0,107,51,0,10,0,0,168
VA -- FAIRFAX CITY (County),27,21,27,42,189,84,20,0,0,325,20,5,11,3,46,0,0,4,10,12,32,38,28,77,209,0,4,0,1,1,5,9,36,4,93,53,50,76,78,104,47,169,90,0,191,199,0,20,0,0,410
VA -- FAIRFAX COUNTY (County),959,922,1251,2177,6731,3366,894,38,0,12016,878,471,570,423,1980,0,94,183,366,591,1060,1230,1516,3575,7693,30,36,20,25,48,123,452,878,208,3164,1342,1914,3020,5108,3790,1775,6819,3954,0,8080,7269,0,989,0,0,16338
VA -- FALLS CHURCH CITY (County),5,13,12,23,76,24,10,2,0,131,4,0,5,5,20,0,2,2,2,7,16,15,17,37,67,0,0,1,0,0,1,1,5,6,36,5,31,19,60,68,19,12,66,0,57,96,0,12,0,0,165
VA -- FAUQUIER COUNTY (County),62,81,131,226,632,254,92,0,0,1238,44,14,15,15,152,0,6,20,43,68,124,121,126,361,607,2,2,4,5,9,29,104,165,72,507,128,136,168,149,170,73,1008,227,0,1080,314,0,84,0,0,1478
VA -- FLOYD COUNTY (County),24,27,36,53,152,45,11,0,0,315,5,1,2,2,23,0,2,0,6,11,14,21,30,73,191,0,2,23,16,22,38,90,62,0,89,1,2,1,2,3,23,255,67,0,265,62,0,21,0,0,348
VA -- FLUVANNA COUNTY (County),38,38,46,68,244,122,39,2,0,510,10,19,1,3,54,0,1,6,18,22,21,35,33,117,343,1,2,11,7,8,30,79,104,43,228,22,34,13,16,50,39,387,121,0,394,175,0,28,0,0,597
VA -- FRANKLIN CITY (County),14,10,14,15,66,19,12,6,0,74,2,71,1,2,6,0,3,2,4,5,6,3,8,22,103,0,2,6,2,8,21,49,21,0,40,3,2,1,1,0,41,79,36,0,83,67,0,6,0,0,156
VA -- FRANKLIN COUNTY (County),128,90,131,192,540,152,76,2,2,1154,8,24,0,4,123,0,10,14,21,38,44,70,78,247,790,1,2,58,32,59,122,278,311,21,321,27,48,15,19,20,85,949,259,0,799,434,0,80,0,0,1313
VA -- FREDERICK COUNTY (County),183,139,226,328,749,410,143,79,1,1923,61,18,8,20,228,0,14,25,61,92,149,164,172,488,1090,3,16,17,23,39,88,285,408,106,826,153,157,83,57,200,166,1622,270,0,1438,667,0,153,0,0,2258
VA -- FREDERICKSBURG CITY (County),53,44,47,65,166,66,36,12,0,348,20,70,4,8,39,0,4,13,30,28,31,35,50,120,177,1,8,7,3,2,26,60,66,18,149,40,55,27,28,93,88,209,99,0,237,207,0,45,0,0,489
VA -- GALAX CITY (County),12,5,9,19,37,14,10,0,0,103,0,1,0,0,2,0,0,2,2,6,2,4,9,17,64,0,2,10,5,8,18,19,17,0,23,3,1,0,0,8,9,69,20,0,75,31,0,0,0,0,106
VA -- GILES COUNTY (County),36,19,40,66,144,42,23,1,0,334,0,1,0,0,36,0,2,3,7,17,21,16,21,67,217,0,1,19,17,18,46,134,65,0,60,6,2,1,2,1,50,257,63,0,216,136,0,19,0,0,371
VA -- GLOUCESTER COUNTY (County),146,110,150,184,461,205,139,7,0,1213,33,17,4,9,126,0,7,16,33,54,103,92,100,343,654,0,2,14,8,14,52,198,385,56,513,47,77,27,9,38,115,994,255,0,996,273,0,133,0,0,1402
VA -- GOOCHLAND COUNTY (County),26,21,32,60,238,124,53,2,1,459,5,21,1,5,66,0,1,4,7,15,28,28,29,113,331,1,1,5,3,5,7,38,88,20,193,35,43,62,57,50,18,373,116,0,402,131,0,24,0,0,557
VA -- GRAYSON COUNTY (County),34,24,33,71,136,48,22,0,0,340,1,6,1,3,17,0,0,2,12,8,14,11,30,59,232,0,1,52,25,31,80,90,33,0,54,0,0,2,0,3,30,278,57,0,289,70,0,9,0,0,368
VA -- GREENE COUNTY (County),36,23,28,43,160,78,26,20,1,364,8,4,3,3,33,0,6,6,15,11,15,24,35,82,220,1,2,3,4,7,14,78,111,11,135,12,25,8,5,29,28,291,67,0,294,94,0,27,0,0,415
VA -- GREENSVILLE COUNTY (County),10,10,11,24,46,19,10,5,0,23,1,106,0,0,5,0,0,2,5,4,3,1,7,22,91,0,0,7,2,7,32,44,18,0,23,0,1,0,1,0,33,73,29,0,78,54,0,3,0,0,135
VA -- HALIFAX COUNTY (County),59,41,54,94,262,126,30,1,0,378,1,248,0,3,37,0,1,8,14,16,17,24,38,104,444,1,3,52,36,63,86,202,119,0,100,1,1,2,2,2,112,421,132,0,420,216,0,31,0,0,667
VA -- HAMPTON CITY (County),501,389,492,817,2785,714,304,150,56,2487,142,3139,33,37,370,0,21,63,126,186,328,301,389,1262,3530,2,26,82,102,195,548,1404,1358,155,1957,114,170,63,34,377,1913,2307,1611,0,2056,3695,0,457,0,0,6208
VA -- HANOVER COUNTY (County),111,165,208,355,1106,409,268,6,1,2278,35,49,14,19,234,0,11,29,45,121,175,158,241,583,1265,1,9,12,10,21,54,256,408,110,1080,166,236,186,81,214,131,1818,466,0,1934,545,0,150,0,0,2629
VA -- HARRISONBURG CITY (County),24,21,29,38,143,49,29,8,4,287,6,12,4,5,31,0,5,14,14,14,14,9,15,49,210,1,3,8,10,16,35,99,62,4,80,8,7,11,2,58,11,175,101,0,182,144,0,19,0,0,345
VA -- HENRICO COUNTY (County),401,317,409,682,1952,1175,417,43,1,3312,114,1432,60,63,416,0,31,69,193,261,273,302,377,984,2900,7,11,53,62,104,312,877,1015,130,1734,260,322,271,246,808,844,2586,1159,0,2905,2200,0,292,0,0,5397
VA -- HENRY COUNTY (County),145,81,121,223,465,120,42,1,0,925,11,187,4,3,68,0,4,17,31,43,39,53,66,208,737,0,2,127,70,114,272,299,140,0,163,4,3,2,2,22,150,821,205,0,816,367,0,15,0,0,1198
VA -- HIGHLAND COUNTY (County),4,1,4,6,25,11,3,1,1,49,0,0,0,0,7,0,0,0,1,2,0,1,1,12,39,0,0,4,2,0,2,24,11,0,11,0,1,1,0,2,2,45,7,0,45,9,0,2,0,0,56
VA -- HOPEWELL CITY (County),67,44,40,73,129,70,32,10,0,241,9,177,3,2,33,0,6,6,17,25,18,11,27,82,273,0,10,33,20,29,76,144,86,0,63,2,1,1,0,23,125,216,101,0,241,193,0,31,0,0,465
VA -- ISLE OF WIGHT COUNTY (County),103,103,140,230,609,203,125,65,1,1201,33,204,2,9,130,0,11,16,41,63,88,110,138,399,713,0,4,12,15,16,56,196,279,103,543,99,117,98,41,89,250,987,253,0,1005,434,0,140,0,0,1579
VA -- JAMES CITY COUNTY (County),145,147,161,362,998,542,304,54,0,2162,91,114,17,31,298,0,16,23,42,61,126,138,217,549,1535,6,7,9,11,23,47,191,365,109,1043,214,302,222,170,497,173,1649,394,0,1722,842,0,149,0,0,2713
VA -- KING AND QUEEN COUNTY (County),5,18,15,14,50,23,12,0,0,108,1,17,0,0,11,0,0,5,1,4,7,9,6,26,79,0,2,5,3,5,7,35,49,0,27,1,1,1,1,0,13,97,27,0,98,35,0,4,0,0,137
VA -- KING GEORGE COUNTY (County),55,55,72,126,261,99,77,36,0,652,16,37,5,2,69,0,8,13,17,36,54,75,89,242,247,0,3,6,5,11,15,39,134,52,254,82,94,62,24,92,46,482,161,0,513,200,0,68,0,0,781
VA -- KING WILLIAM COUNTY (County),20,22,28,74,137,40,36,0,0,303,7,22,0,2,23,0,1,5,16,22,21,24,30,73,165,0,4,1,4,5,16,73,98,11,118,8,13,4,2,22,18,246,71,0,253,70,0,34,0,0,357
VA -- LANCASTER COUNTY (County),13,11,15,25,84,58,26,2,0,179,3,28,2,0,22,0,2,3,1,6,7,6,6,32,171,0,2,2,3,14,15,43,47,0,72,5,14,7,10,6,28,161,39,0,158,69,0,7,0,0,234
VA -- LEE COUNTY (County),29,21,29,52,105,11,7,0,0,240,1,3,0,1,9,0,2,3,4,6,7,15,15,38,164,0,3,33,19,24,34,78,34,0,27,0,1,0,1,0,26,179,49,0,167,47,0,40,0,0,254
VA -- LEXINGTON CITY (County),7,7,5,4,24,11,2,0,1,54,1,0,1,0,5,0,3,0,2,3,1,1,2,5,44,0,1,2,0,2,3,10,11,11,16,2,3,0,0,8,3,18,32,0,21,35,0,5,0,0,61
VA -- LOUDOUN COUNTY (County),272,281,402,684,2156,1133,257,2,1,3980,257,95,133,117,606,0,24,43,114,222,473,541,637,1322,1801,11,25,13,7,14,72,249,313,66,1144,444,535,842,1464,924,393,2688,1183,0,2826,2013,0,349,0,0,5188
VA -- LOUISA COUNTY (County),60,63,98,100,346,154,63,2,0,739,14,42,3,6,82,0,5,14,25,47,39,51,65,191,448,1,4,15,14,9,37,179,176,67,270,27,39,18,31,42,77,625,142,0,642,190,0,54,0,0,886
VA -- LUNENBURG COUNTY (County),14,13,27,28,84,46,23,0,0,142,0,74,2,0,17,0,0,2,4,4,9,13,12,50,141,0,1,13,15,12,31,86,39,0,32,2,1,1,2,0,32,166,37,0,174,58,0,3,0,0,235
VA -- LYNCHBURG CITY (County),127,75,92,160,440,150,68,40,0,807,11,248,4,6,76,0,10,22,40,57,41,37,60,162,722,1,4,68,34,56,104,276,230,17,293,16,34,12,8,98,151,644,259,0,694,395,0,63,0,0,1152
VA -- MADISON COUNTY (County),16,13,15,28,82,49,18,21,0,214,9,3,0,0,16,0,1,3,8,5,7,12,20,47,139,0,0,4,2,4,12,53,59,8,84,4,6,1,5,2,22,186,32,0,184,48,0,10,0,0,242
VA -- MANASSAS CITY (County),35,41,56,58,176,106,67,16,0,428,36,22,8,4,57,0,1,6,16,34,43,35,48,117,255,0,2,2,0,7,20,60,80,33,186,55,53,32,25,93,81,245,136,0,281,228,0,46,0,0,555
VA -- MANASSAS PARK CITY (County),20,19,14,27,52,36,9,0,0,144,11,8,1,3,10,0,1,2,12,10,4,22,18,39,69,0,0,2,5,2,11,30,38,3,59,3,11,4,9,29,19,91,38,0,101,63,0,13,0,0,177
VA -- MARTINSVILLE CITY (County),24,28,34,31,88,22,10,0,0,108,3,122,0,1,3,0,0,5,7,10,14,9,15,45,132,0,4,23,17,34,38,44,23,7,42,1,2,2,0,8,68,89,72,0,108,113,0,16,0,0,237
VA -- MATHEWS COUNTY (County),17,10,17,23,75,27,30,2,0,171,1,6,0,0,23,0,0,1,3,11,6,9,9,46,115,1,6,5,6,3,6,47,58,0,45,5,14,0,6,4,12,146,39,0,148,45,0,8,0,0,201
VA -- MECKLENBURG COUNTY (County),76,38,36,101,242,105,35,3,0,365,6,232,1,3,29,0,1,12,18,16,21,26,36,88,417,1,2,49,18,39,105,165,116,0,122,6,8,0,6,3,115,392,126,0,403,199,0,34,0,0,636
VA -- MIDDLESEX COUNTY (County),11,9,14,36,85,32,23,1,0,176,0,12,0,3,20,0,0,1,4,7,14,6,7,43,128,1,3,3,1,7,15,40,43,2,73,8,8,2,6,4,7,162,38,0,156,45,0,10,0,0,211
VA -- MONTGOMERY COUNTY (County),113,103,107,189,496,157,56,0,0,1073,13,8,6,8,113,0,16,20,30,65,64,60,94,212,660,0,8,37,22,33,95,270,255,13,394,24,32,20,18,86,117,736,282,0,670,447,0,104,0,0,1221
VA -- NELSON COUNTY (County),28,15,30,23,115,67,25,0,1,279,2,1,1,1,20,0,0,3,6,12,8,4,21,50,200,0,0,8,6,11,26,70,78,1,74,4,14,2,10,14,18,202,70,0,199,98,0,7,0,0,304
VA -- NEW KENT COUNTY (County),39,39,72,107,284,139,79,2,0,636,17,22,4,6,76,0,2,7,21,39,32,52,63,181,364,0,4,5,7,10,15,62,132,40,359,38,49,29,11,68,32,506,155,0,538,179,0,44,0,0,761
VA -- NEWPORT NEWS CITY (County),677,521,696,1078,3148,1059,403,164,35,4025,296,2818,58,55,529,0,39,90,166,252,515,438,567,1668,4042,4,20,138,124,190,617,1463,1745,214,2654,173,258,130,55,1185,1656,3365,1575,0,3748,3430,0,603,0,0,7781
VA -- NORFOLK CITY (County),577,431,508,705,1732,509,221,143,66,2635,275,1499,24,58,401,0,41,90,155,257,291,312,372,1158,2214,2,28,94,101,182,458,1227,1050,97,1220,116,146,104,69,786,1236,1870,1000,0,1730,2635,0,527,0,0,4892
VA -- NORTHAMPTON COUNTY (County),22,8,13,22,56,30,16,3,8,126,1,33,0,2,16,0,1,2,5,6,6,7,8,31,111,1,6,7,4,11,24,42,36,0,30,4,8,5,1,21,29,104,24,0,101,68,0,9,0,0,178
VA -- NORTHUMBERLAND COUNTY (County),15,21,26,38,111,59,56,0,0,262,4,29,2,4,25,0,1,0,4,5,9,6,11,61,229,0,2,9,2,15,20,62,78,0,100,7,8,13,10,6,20,225,75,0,227,87,0,12,0,0,326
VA -- NORTON CITY (County),8,7,7,10,30,4,1,0,0,64,0,0,0,0,3,0,2,0,3,1,7,4,4,12,34,0,3,12,0,8,17,12,10,0,5,0,0,0,0,0,7,48,12,0,45,21,0,1,0,0,67
VA -- NOTTOWAY COUNTY (County),22,18,31,47,130,45,3,0,0,160,4,109,1,1,21,0,5,2,10,4,12,13,22,57,171,0,2,20,15,11,34,104,46,3,57,2,2,0,0,1,54,197,44,0,203,74,0,19,0,0,296
VA -- ORANGE COUNTY (County),87,51,80,135,328,162,87,59,0,825,25,25,7,7,100,0,1,11,21,48,51,56,69,229,501,2,6,11,8,17,28,157,238,11,363,40,62,30,18,93,46,658,192,0,648,253,0,88,0,0,989
VA -- PAGE COUNTY (County),54,49,70,89,239,68,31,14,12,561,3,4,5,1,52,0,0,7,11,32,31,37,53,122,331,2,4,41,35,28,82,175,98,12,133,6,10,1,1,1,65,475,85,0,427,166,0,33,0,0,626
VA -- PATRICK COUNTY (County),34,34,40,67,149,45,26,1,0,369,2,6,0,0,19,0,2,1,4,10,19,8,21,68,262,1,2,43,22,34,78,85,67,0,62,1,2,0,0,1,31,310,54,0,282,106,0,8,0,0,396
VA -- PETERSBURG CITY (County),86,46,45,65,139,90,51,5,0,72,7,430,0,3,15,0,5,9,13,29,25,28,27,102,287,2,6,43,30,44,123,139,71,0,70,1,0,0,0,76,252,52,147,0,94,404,0,29,0,0,527
VA -- PITTSYLVANIA COUNTY (County),115,89,119,211,610,241,95,0,0,1194,9,168,8,1,100,0,7,12,39,49,57,66,95,275,879,1,9,72,73,98,234,411,257,4,298,6,10,6,2,12,190,1046,232,0,1064,343,0,73,0,0,1480
VA -- POQUOSON CITY (County),46,35,60,113,325,155,121,97,0,829,16,3,9,3,92,0,2,1,7,21,75,55,82,208,501,0,1,2,1,2,11,59,115,15,407,103,107,66,63,47,35,713,157,0,757,151,0,44,0,0,952
VA -- PORTSMOUTH CITY (County),345,244,257,405,1094,232,70,40,1,1169,77,1264,5,16,157,0,19,58,102,119,161,186,205,573,1262,3,9,70,80,115,283,734,603,37,677,32,28,13,7,63,1050,914,661,0,839,1592,0,257,0,0,2688
VA -- POWHATAN COUNTY (County),31,41,55,103,347,130,54,1,0,667,3,18,4,5,65,0,3,9,20,31,33,41,59,161,405,0,1,3,2,3,18,53,153,50,355,25,51,25,23,29,50,575,108,0,600,116,0,46,0,0,762
VA -- PRINCE EDWARD COUNTY (County),33,12,27,43,109,37,23,0,0,142,6,118,2,0,16,0,1,2,6,11,12,10,16,34,192,0,0,19,9,4,41,81,57,0,67,2,3,1,0,2,60,167,55,0,172,101,0,11,0,0,284
VA -- PRINCE GEORGE COUNTY (County),71,53,61,118,322,161,78,17,0,580,25,189,5,12,70,0,9,5,19,40,37,32,47,198,494,0,1,19,9,14,30,149,265,38,300,14,25,13,4,62,136,527,156,0,570,259,0,52,0,0,881
VA -- PRINCE WILLIAM COUNTY (County),740,696,909,1377,3764,1925,709,172,1,6744,693,1540,148,176,992,0,89,135,253,403,682,960,1138,2756,3870,7,37,19,30,37,145,522,955,246,2777,981,1390,1634,1520,1702,1648,4498,2445,0,5157,4296,0,840,0,0,10293
VA -- PULASKI COUNTY (County),93,52,66,153,329,77,26,1,0,716,4,9,0,0,68,0,4,13,22,24,33,40,56,151,453,1,1,47,27,57,103,244,141,0,161,7,5,2,2,6,93,527,171,0,527,225,0,45,0,0,797
VA -- RADFORD CITY (County),16,17,19,28,72,26,20,0,0,169,3,3,0,0,23,0,4,5,8,7,7,7,17,29,114,0,3,6,5,15,24,42,40,2,52,4,4,1,0,21,16,117,44,0,120,65,0,13,0,0,198
VA -- RAPPAHANNOCK COUNTY (County),5,5,13,18,53,24,14,0,0,118,2,1,0,1,10,0,1,1,5,5,4,3,5,32,76,0,0,3,3,0,1,17,30,13,48,4,6,4,3,4,9,82,37,0,83,43,0,6,0,0,132
VA -- RICHMOND CITY (County),220,201,252,405,692,372,142,17,0,1086,54,996,13,15,137,0,27,71,175,204,146,125,135,327,1089,2,35,76,81,115,250,487,308,57,528,63,118,90,93,732,512,378,679,0,578,1530,0,193,0,0,2301
VA -- RICHMOND COUNTY (County),10,13,16,21,49,15,2,0,0,86,1,32,1,1,5,0,0,0,2,6,4,9,5,21,78,1,1,7,3,5,13,42,33,0,21,0,1,0,0,2,16,84,24,0,86,33,0,7,0,0,126
VA -- ROANOKE CITY (County),236,151,190,275,563,276,132,32,13,1319,18,410,7,6,108,0,9,30,71,81,90,101,121,301,1060,4,11,105,69,114,275,504,313,4,392,24,24,17,16,149,363,831,525,0,877,856,0,135,0,0,1868
VA -- ROANOKE COUNTY (County),195,192,263,451,1090,382,156,74,21,2514,24,24,12,21,229,0,20,40,69,96,122,121,215,477,1662,2,7,39,31,66,164,480,744,75,977,64,102,49,26,157,232,1905,530,0,1618,1028,0,178,0,0,2824
VA -- ROCKBRIDGE COUNTY (County),38,19,35,64,173,67,32,18,10,417,1,2,1,0,35,0,1,1,12,15,17,15,24,86,285,0,1,17,15,24,36,111,96,0,122,9,10,11,4,18,27,332,79,0,274,163,0,19,0,0,456
